nome;telefone;endereco;link;categoria;horario;
Tip Top Hotel;(33) 98463-2089;R. Francisco de Assis Mota, 430 - Cristo Rei;https://www.instagram.com/tiptophotel6;Lazer e Turismo;Seg a Dom: 00h – 24h;
Hotel N. Sra. das Graças;(33) 3533-1239;Praça Dom José de Haas, 108 - Centro;https://www.facebook.com/profile.php;Lazer e Turismo;Seg a Dom: 00h – 24h;
Hotel Carvalho;(33) 3533-1627;Av. Júlio Campos, 258 - Centro;https://www.facebook.com/HotelCarvalho;Lazer e Turismo;Seg a Dom: 00h – 24h;
Escola Inácio Murta;(33) 3533-1537;Praça Sargento Noraldino Rosa, 435 - Centro;https://www.instagram.com/inaciomurtanc;Educação;Seg a Sex: 07h – 18h | Dom: #;
Escola Eduardo Milton da Silva;(33) 3533-1307;Rua Jorge Chaim - Centro;https://www.instagram.com/escola_eduardomilton/;Educação;Seg a Sex: 07h – 17h | Dom: #;
EE Dom José De Haas;(33) 3312-1160;R. Inácio Bahia, 369 - São Francisco;#;Educação;Seg a Sex: 07h – 17h | Dom: #;
Secretaria de Educação;(33) 99928-2643;Rua Gaudêncio Caminhas, 48 - Centro;#;Educação;Seg a Dom: 00h – 24h;
Escola Maria Das Dores;#;Novo Cruzeiro - MG;https://www.instagram.com/escolamariadasdoresnc/;Educação;Seg a Sex: 07h – 17h | Dom: #;
CNA Novo Cruzeiro;(33) 98805-3327;Av. Júlio Campos, 562 - Centro;https://cna.com.br/novo-cruzeiro;Educação;Seg a Sex: 07h – 17h | Dom: #;
Assistência Social;#;Praça Dom José De Hass, 38 - Centro;https://www.novocruzeiro.mg.gov.br/portal/secretarias/27/assistencia-social/aldirblanc.novocruzeiro.mg.gov.br;Serviços;Seg a Sex: 07h – 17h | Dom: #;
Prefeitura de Novo Cruzeiro;(33) 3533-1200;Av. Júlio Campos, 172 - Centro;https://novocruzeiro.mg.gov.br/;Serviços;Seg a Sex: 07h – 17h | Dom: #;
Secretaria de Saúde;(33) 99928-2643;Praça Sargento Noraldino Rosa, 02 - Centro;https://www.novocruzeiro.mg.gov.br/portal/secretarias/20/saude;Saúde;Seg a Sex: 07h – 17h | Dom: #;
Mania do Açaí;(33) 98861-6745;Rua Joaquim Maravilha, 48 - Centro;https://www.instagram.com/maniadoacai/;Alimentação;Seg a Sex: 14h – 22h | Dom: 14h – 22h;
Companhia do Lanche;(33) 98701-0402;Av. Júlio Campos, 516 - Centro;https://www.instagram.com/companhiaa_do_lanche/;Alimentação;Seg a Sex: 07h – 23h | Dom: 07h – 23h;
